verse_ref,verse_key,projection_status,source_refs,continuous_series,classification_number,classification,confidence,evidence_note,conclusion_ru,source_links
Exod.36.13,1ZO,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.13 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.14,1ZP,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.14 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.15,1ZQ,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.15 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.16,1ZR,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.16 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.17,1ZS,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.17 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.18,1ZT,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.18 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.19,1ZU,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.19 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.20,1ZV,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.20 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.21,1ZW,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.21 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.22,1ZX,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.22 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.23,1ZY,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.23 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.24,1ZZ,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.24 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.25,200,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.25 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.26,201,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.26 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.27,202,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.27 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.28,203,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.28 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.29,204,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.29 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.30,205,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.30 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.31,206,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.31 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.32,207,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.32 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.33,208,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.33 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.36.34,209,confirmed_unrepresented_in_lxx_control,,Exod.36.10-34,10,Недостаточно данных,medium,GreekDoc polyglot marks target 36.34 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.37.11,20O,confirmed_unrepresented_as_distinct_kjv_semantic_row_in_lxx_control,Exod.38.9,Exod.37.11-12,10,Недостаточно данных,medium,"Follow-up span review found no distinct target segment: GreekDoc ex37 marks the row N/A in the displayed LXX controls, and CrossWire Exod.38.9 is already used for target 37.10 without a separable gold-overlay row.",В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.37.12,20P,confirmed_unrepresented_in_lxx_control,,Exod.37.11-12,10,Недостаточно данных,medium,GreekDoc polyglot marks target 37.12 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.37.14,20R,confirmed_unrepresented_as_distinct_kjv_semantic_row_in_lxx_control,Exod.38.10,,10,Недостаточно данных,medium,"Follow-up span review found no distinct target segment: GreekDoc ex37 marks the row N/A in the displayed LXX controls, and CrossWire Exod.38.10 is already used for target 37.13 without a separable ring-placement row.",В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.37.20,20X,confirmed_unrepresented_as_distinct_kjv_semantic_row_in_lxx_control,Exod.38.16,Exod.37.20-22,10,Недостаточно данных,medium,"Follow-up span review found no distinct target segment: GreekDoc ex37 marks the row N/A in the displayed LXX controls, and CrossWire Exod.38.16 is a compact lampstand line without separable KJV rows 37.20-22.",В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.37.21,20Y,confirmed_unrepresented_as_distinct_kjv_semantic_row_in_lxx_control,Exod.38.16,Exod.37.20-22,10,Недостаточно данных,medium,"Follow-up span review found no distinct target segment: GreekDoc ex37 marks the row N/A in the displayed LXX controls, and CrossWire Exod.38.16 is a compact lampstand line without separable KJV rows 37.20-22.",В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.37.22,20Z,confirmed_unrepresented_as_distinct_kjv_semantic_row_in_lxx_control,Exod.38.16,Exod.37.20-22,10,Недостаточно данных,medium,"Follow-up span review found no distinct target segment: GreekDoc ex37 marks the row N/A in the displayed LXX controls, and CrossWire Exod.38.16 is a compact lampstand line without separable KJV rows 37.20-22.",В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.37.24,211,confirmed_unrepresented_in_lxx_control,,Exod.37.24-28,10,Недостаточно данных,medium,GreekDoc polyglot marks target 37.24 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.37.25,212,confirmed_unrepresented_in_lxx_control,,Exod.37.24-28,10,Недостаточно данных,medium,GreekDoc polyglot marks target 37.25 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.37.26,213,confirmed_unrepresented_in_lxx_control,,Exod.37.24-28,10,Недостаточно данных,medium,GreekDoc polyglot marks target 37.26 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.37.27,214,confirmed_unrepresented_in_lxx_control,,Exod.37.24-28,10,Недостаточно данных,medium,GreekDoc polyglot marks target 37.27 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.37.28,215,confirmed_unrepresented_in_lxx_control,,Exod.37.24-28,10,Недостаточно данных,medium,GreekDoc polyglot marks target 37.28 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.38.2,218,confirmed_unrepresented_as_distinct_kjv_semantic_row_in_lxx_control,Exod.38.22,,10,Недостаточно данных,medium,"Follow-up span review found no distinct target segment: CrossWire Exod.38.22 contains the bronze altar-from-censers material already assigned to target 38.1, not the horns/corners/staves KJV semantic row.",В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.38.6,21C,confirmed_unrepresented_in_lxx_control,,Exod.38.6-7,10,Недостаточно данных,medium,GreekDoc polyglot marks target 38.6 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.38.7,21D,confirmed_unrepresented_in_lxx_control,,Exod.38.6-7,10,Недостаточно данных,medium,GreekDoc polyglot marks target 38.7 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.39.39,234,confirmed_unrepresented_as_distinct_kjv_semantic_row_in_lxx_control,Exod.39.9;Exod.39.15,,10,Недостаточно данных,medium,"Follow-up span review found no distinct target segment: GreekDoc ex39 places lampstand/oil material at 39.39, while the KJV row requires bronze altar/grate/staves/laver material; CrossWire has no separable matching row in the checked source lines.",В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.40.7,23F,confirmed_unrepresented_in_lxx_control,,,10,Недостаточно данных,medium,GreekDoc polyglot marks target 40.7 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.40.11,23J,confirmed_unrepresented_in_lxx_control,,,10,Недостаточно данных,medium,GreekDoc polyglot marks target 40.11 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Exod.40.28,240,confirmed_unrepresented_in_lxx_control,,,10,Недостаточно данных,medium,GreekDoc polyglot marks target 40.28 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Josh.6.4,4LE,confirmed_unrepresented_as_distinct_kjv_semantic_row_in_lxx_control,,,10,Недостаточно данных,medium,"CrossWire source 6.4 resumes with target 6.5 content. GreekDoc shows either N/A or an opening segment of target 6.5 content under label 6.4, not the KJV 6.4 priests/seventh-day instruction. Related procession narrative occurs later.",В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Josh.8.13,4N4,confirmed_unrepresented_in_lxx_control,,,10,Недостаточно данных,medium,GreekDoc marks target 8.13 N/A in the displayed LXX controls. CrossWire source 8.13 resumes with target 8.14 content.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
