verse_ref,verse_key,source_range,source_percent,source_tr_only,source_kjv_only,kjv_text,tr_text,kjv_strongs_all,tr_strongs_all,tr_recall_filtered,kjv_precision_filtered,f1_filtered,jaccard_filtered,ordered_f1_filtered,alt_aware_f1_filtered,classification_number,classification,confidence,flags,conclusion_ru,source_links,proposed_correct_content
Mat.7.4,HZT,"66,(6)%–<75%",69.23,"[{""count"":1,""strong"":""G4483""},{""count"":3,""strong"":""G4771""}]","[{""count"":1,""strong"":""G80""},{""count"":1,""strong"":""G2046""},{""count"":1,""strong"":""G3788""},{""count"":3,""strong"":""G4675""}]","Or G2228 how G4459 wilt thou say G2046 to G80 thy G4675 brother, G80 Let G863 me pull out G1544 the mote G2595 out G575 of G3788 thine G4675 eye; G3788 and, G2532 behold, G2400 a beam G1385 is in G1722 thine own G4675 eye? G3788",ἢ G2228 πῶς G4459 ἐρεῖς G4483 τῷ G3588 ἀδελφῷ G80 σου G4771 ἄφες G863 ἐκβάλω G1544 τὸ G3588 κάρφος G2595 τοῦ G3588 ὀφθαλμοῦ G3788 σου G4771 καὶ G2532 ἰδοὺ G2400 ἡ G3588 δοκὸς G1385 ἐν G1722 τῷ G3588 ὀφθαλμῷ G3788 σοῦ G4771,G2228 G4459 G2046 G80 G4675 G80 G863 G1544 G2595 G575 G3788 G4675 G3788 G2532 G2400 G1385 G1722 G4675 G3788,G2228 G4459 G4483 G3588 G80 G4771 G863 G1544 G3588 G2595 G3588 G3788 G4771 G2532 G2400 G3588 G1385 G1722 G3588 G3788 G4771,0.6923076923076923,0.6,0.6428571428571429,0.47368421052631576,0.6428571428571429,0.8571428571428571,9,Артефакт исходной метрики или списка исключений,medium,classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=0.8571); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Mat.9.4,I1K,"66,(6)%–<75%",72.73,"[{""count"":2,""strong"":""G4771""},{""count"":1,""strong"":""G5101""}]","[{""count"":1,""strong"":""G2444""},{""count"":1,""strong"":""G5210""},{""count"":1,""strong"":""G5216""}]","And G2532 Jesus G2424 knowing G1492 their G846 thoughts G1761 said, G2036 Wherefore G2444 think G1760 ye G5210 evil G4190 in G1722 your G5216 hearts? G2588",καὶ G2532 ἰδὼν G1492 ὁ G3588 Ἰησοῦς G2424 τὰς G3588 ἐνθυμήσεις G1761 αὐτῶν G846 εἶπεν G2036 ἱνατί G5101 ὑμεῖς G4771 ἐνθυμεῖσθε G1760 πονηρὰ G4190 ἐν G1722 ταῖς G3588 καρδίαις G2588 ὑμῶν G4771,G2532 G2424 G1492 G846 G1761 G2036 G2444 G1760 G5210 G4190 G1722 G5216 G2588,G2532 G1492 G3588 G2424 G3588 G1761 G846 G2036 G5101 G4771 G1760 G4190 G1722 G3588 G2588 G4771,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.5714285714285714,0.5454545454545454,1.0,9,Артефакт исходной метрики или списка исключений,high,classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=1.0000); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Mat.9.21,I21,"66,(6)%–<75%",71.43,"[{""count"":1,""strong"":""G681""},{""count"":1,""strong"":""G3441""}]","[{""count"":2,""strong"":""G680""},{""count"":1,""strong"":""G3440""}]","For G1063 she said G3004 within G1722 herself, G1438 If G1437 I may G680 but G3440 touch G680 his G846 garment, G2440 I shall be whole. G4982",ἔλεγεν G3004 γὰρ G1063 ἐν G1722 ἑαυτῇ G1438 ἐὰν G1437 μόνον G3441 ἅψωμαι G681 τοῦ G3588 ἱματίου G2440 αὐτοῦ G846 σωθήσομαι G4982,G1063 G3004 G1722 G1438 G1437 G680 G3440 G680 G846 G2440 G4982,G3004 G1063 G1722 G1438 G1437 G3441 G681 G3588 G2440 G846 G4982,0.7142857142857143,0.625,0.6666666666666666,0.5,0.5333333333333333,0.8,9,Артефакт исходной метрики или списка исключений,medium,classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=0.8000); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Mat.9.29,I29,"66,(6)%–<75%",66.67,"[{""count"":1,""strong"":""G681""},{""count"":2,""strong"":""G4771""}]","[{""count"":1,""strong"":""G680""},{""count"":1,""strong"":""G5213""},{""count"":1,""strong"":""G5216""}]","Then G5119 touched he G680 their G846 eyes, G3788 saying, G3004 According to G2596 your G5216 faith G4102 be it G1096 unto you. G5213",τότε G5119 ἥψατο G681 τῶν G3588 ὀφθαλμῶν G3788 αὐτῶν G846 λέγων G3004 κατὰ G2596 τὴν G3588 πίστιν G4102 ὑμῶν G4771 γενηθήτω G1096 ὑμῖν G4771,G5119 G680 G846 G3788 G3004 G2596 G5216 G4102 G1096 G5213,G5119 G681 G3588 G3788 G846 G3004 G2596 G3588 G4102 G4771 G1096 G4771,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5555555555555556,1.0,9,Артефакт исходной метрики или списка исключений,high,classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=1.0000); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Mat.10.30,I3C,"66,(6)%–<75%",66.67,"[{""count"":1,""strong"":""G1510""},{""count"":1,""strong"":""G4771""}]","[{""count"":1,""strong"":""G1526""},{""count"":1,""strong"":""G2359""},{""count"":1,""strong"":""G2776""},{""count"":1,""strong"":""G5216""}]",But G1161 the G2359 very G2532 hairs G2359 of G2776 your G5216 head G2776 are G1526 all G3956 numbered. G705,ὑμῶν G4771 δὲ G1161 καὶ G2532 αἱ G3588 τρίχες G2359 τῆς G3588 κεφαλῆς G2776 πᾶσαι G3956 ἠριθμημέναι G705 εἰσίν G1510,G1161 G2359 G2532 G2359 G2776 G5216 G2776 G1526 G3956 G705,G4771 G1161 G2532 G3588 G2359 G3588 G2776 G3956 G705 G1510,0.6666666666666666,0.5,0.5714285714285714,0.4,0.5714285714285714,0.8571428571428571,9,Артефакт исходной метрики или списка исключений,medium,classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=0.8571); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Mat.10.32,I3E,"66,(6)%–<75%",70.0,"[{""count"":1,""strong"":""G1473""},{""count"":1,""strong"":""G3165""},{""count"":1,""strong"":""G3748""}]","[{""count"":1,""strong"":""G1698""},{""count"":2,""strong"":""G2504""},{""count"":1,""strong"":""G3450""},{""count"":1,""strong"":""G3670""}]","Whosoever G3956 therefore G3767 shall confess G3670 me G1698 before G1715 men, G444 him G846 will G3670 I G2504 confess G3670 also G2504 before G1715 my G3450 Father G3962 which is G3588 in G1722 heaven. G3772",Πᾶς G3956 οὖν G3767 ὅστις G3748 ὁμολογήσει G3670 ἐν G1722 ἐμοὶ G1473 ἔμπροσθεν G1715 τῶν G3588 ἀνθρώπων G444 ὁμολογήσω G3670 κἀγὼ G2532 ἐν G1722 αὐτῷ G846 ἔμπροσθεν G1715 τοῦ G3588 πατρός G3962 μου G3165 τοῦ G3588 ἐν G1722 οὐρανοῖς G3772,G3956 G3767 G3670 G1698 G1715 G444 G846 G3670 G2504 G3670 G2504 G1715 G3450 G3962 G3588 G1722 G3772,G3956 G3767 G3748 G3670 G1722 G1473 G1715 G3588 G444 G3670 G2532 G1722 G846 G1715 G3588 G3962 G3165 G3588 G1722 G3772,0.7,0.5833333333333334,0.6363636363636364,0.4666666666666667,0.5454545454545454,0.8181818181818182,9,Артефакт исходной метрики или списка исключений,medium,classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=0.8182); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Mat.10.40,I3M,"66,(6)%–<75%",66.67,"[{""count"":2,""strong"":""G1473""},{""count"":1,""strong"":""G4771""}]","[{""count"":2,""strong"":""G1691""},{""count"":1,""strong"":""G5209""}]","He that receiveth G1209 you G5209 receiveth G1209 me, G1691 and G2532 he that receiveth G1209 me G1691 receiveth G1209 him that sent G649 me. G3165",Ὁ G3588 δεχόμενος G1209 ὑμᾶς G4771 ἐμὲ G1473 δέχεται G1209 καὶ G2532 ὁ G3588 ἐμὲ G1473 δεχόμενος G1209 δέχεται G1209 τὸν G3588 ἀποστείλαντά G649 με G3165,G1209 G5209 G1209 G1691 G2532 G1209 G1691 G1209 G649 G3165,G3588 G1209 G4771 G1473 G1209 G2532 G3588 G1473 G1209 G1209 G3588 G649 G3165,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,1.0,9,Артефакт исходной метрики или списка исключений,high,classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=1.0000); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Mat.11.6,I3U,"66,(6)%–<75%",66.67,"[{""count"":1,""strong"":""G1473""},{""count"":1,""strong"":""G1510""}]","[{""count"":1,""strong"":""G1698""},{""count"":1,""strong"":""G2076""},{""count"":1,""strong"":""G4624""}]","And G2532 blessed G3107 is G2076 he, whosoever G3739 G1437 shall G4624 not G3361 be offended G4624 in G1722 me. G1698",καὶ G2532 μακάριός G3107 ἐστιν G1510 ὃς G3739 ἐὰν G1437 μὴ G3361 σκανδαλισθῇ G4624 ἐν G1722 ἐμοί G1473,G2532 G3107 G2076 G3739 G1437 G4624 G3361 G4624 G1722 G1698,G2532 G3107 G1510 G3739 G1437 G3361 G4624 G1722 G1473,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.4444444444444444,0.6153846153846154,0.9230769230769231,9,Артефакт исходной метрики или списка исключений,high,classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=0.9231); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Mat.11.10,I3Y,"66,(6)%–<75%",68.75,"[{""count"":1,""strong"":""G1510""},{""count"":1,""strong"":""G3165""},{""count"":3,""strong"":""G4771""}]","[{""count"":1,""strong"":""G2076""},{""count"":1,""strong"":""G3450""},{""count"":3,""strong"":""G4675""}]","For G1063 this G3778 is G2076 he, of G4012 whom G3739 it is written, G1125 Behold, G2400 I G1473 send G649 my G3450 messenger G32 before G4253 thy G4675 face, G4383 which G3739 shall prepare G2680 thy G4675 way G3598 before G1715 thee. G4675",οὗτός G3778 γάρ G1063 ἐστιν G1510 περὶ G4012 οὗ G3739 γέγραπται G1125 ἰδοὺ G2400 ἐγὼ G1473 ἀποστέλλω G649 τὸν G3588 ἄγγελόν G32 μου G3165 πρὸ G4253 προσώπου G4383 σου G4771 ὃς G3739 κατασκευάσει G2680 τὴν G3588 ὁδόν G3598 σου G4771 ἔμπροσθέν G1715 σου G4771,G1063 G3778 G2076 G4012 G3739 G1125 G2400 G1473 G649 G3450 G32 G4253 G4675 G4383 G3739 G2680 G4675 G3598 G1715 G4675,G3778 G1063 G1510 G4012 G3739 G1125 G2400 G1473 G649 G3588 G32 G3165 G4253 G4383 G4771 G3739 G2680 G3588 G3598 G4771 G1715 G4771,0.6875,0.6875,0.6875,0.5238095238095238,0.6875,1.0,9,Артефакт исходной метрики или списка исключений,high,classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=1.0000); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Mat.11.22,I4A,"66,(6)%–<75%",70.0,"[{""count"":1,""strong"":""G1510""},{""count"":2,""strong"":""G4771""}]","[{""count"":1,""strong"":""G2071""},{""count"":2,""strong"":""G5213""}]","But G4133 I say G3004 unto you, G5213 It shall be G2071 more tolerable G414 for Tyre G5184 and G2532 Sidon G4605 at G1722 the day G2250 of judgment, G2920 than G2228 for you. G5213",πλὴν G4133 λέγω G3004 ὑμῖν G4771 Τύρῳ G5184 καὶ G2532 Σιδῶνι G4605 ἀνεκτότερον G414 ἔσται G1510 ἐν G1722 ἡμέρᾳ G2250 κρίσεως G2920 ἢ G2228 ὑμῖν G4771,G4133 G3004 G5213 G2071 G414 G5184 G2532 G4605 G1722 G2250 G2920 G2228 G5213,G4133 G3004 G4771 G5184 G2532 G4605 G414 G1510 G1722 G2250 G2920 G2228 G4771,0.7,0.7,0.7,0.5384615384615384,0.6,1.0,9,Артефакт исходной метрики или списка исключений,high,classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=1.0000); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Mat.11.24,I4C,"66,(6)%–<75%",70.0,"[{""count"":1,""strong"":""G1510""},{""count"":2,""strong"":""G4771""}]","[{""count"":1,""strong"":""G2071""},{""count"":1,""strong"":""G4671""},{""count"":1,""strong"":""G5213""}]","But G4133 I say G3004 unto you, G5213 That G3754 it shall be G2071 more tolerable G414 for the land G1093 of Sodom G4670 in G1722 the day G2250 of judgment, G2920 than G2228 for thee. G4671",πλὴν G4133 λέγω G3004 ὑμῖν G4771 ὅτι G3754 γῇ G1093 Σοδόμων G4670 ἀνεκτότερον G414 ἔσται G1510 ἐν G1722 ἡμέρᾳ G2250 κρίσεως G2920 ἢ G2228 σοί G4771,G4133 G3004 G5213 G3754 G2071 G414 G1093 G4670 G1722 G2250 G2920 G2228 G4671,G4133 G3004 G4771 G3754 G1093 G4670 G414 G1510 G1722 G2250 G2920 G2228 G4771,0.7,0.7,0.7,0.5384615384615384,0.6,1.0,9,Артефакт исходной метрики или списка исключений,high,classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=1.0000); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Mat.11.29,I4H,"66,(6)%–<75%",71.43,"[{""count"":1,""strong"":""G1473""},{""count"":1,""strong"":""G3165""},{""count"":2,""strong"":""G4771""}]","[{""count"":1,""strong"":""G1700""},{""count"":1,""strong"":""G3450""},{""count"":1,""strong"":""G5209""},{""count"":1,""strong"":""G5216""},{""count"":1,""strong"":""G5590""}]","Take G142 my G3450 yoke G2218 upon G1909 you, G5209 and G2532 learn G3129 of G575 me; G1700 for G3754 I am G1510 meek G4235 and G2532 lowly G5011 in heart: G2588 and G2532 ye shall find G2147 rest G372 unto G5590 your G5216 souls. G5590",ἄρατε G142 τὸν G3588 ζυγόν G2218 μου G3165 ἐφ᾽ G1909 ὑμᾶς G4771 καὶ G2532 μάθετε G3129 ἀπ᾽ G575 ἐμοῦ G1473 ὅτι G3754 πραΰς G4235 εἰμι G1510 καὶ G2532 ταπεινὸς G5011 τῇ G3588 καρδίᾳ G2588 καὶ G2532 εὑρήσετε G2147 ἀνάπαυσιν G372 ταῖς G3588 ψυχαῖς G5590 ὑμῶν G4771,G142 G3450 G2218 G1909 G5209 G2532 G3129 G575 G1700 G3754 G1510 G4235 G2532 G5011 G2588 G2532 G2147 G372 G5590 G5216 G5590,G142 G3588 G2218 G3165 G1909 G4771 G2532 G3129 G575 G1473 G3754 G4235 G1510 G2532 G5011 G3588 G2588 G2532 G2147 G372 G3588 G5590 G4771,0.7142857142857143,0.6666666666666666,0.6896551724137931,0.5263157894736842,0.6206896551724138,0.9655172413793104,9,Артефакт исходной метрики или списка исключений,high,classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=0.9655); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Mat.12.27,I59,"66,(6)%–<75%",69.23,"[{""count"":1,""strong"":""G1510""},{""count"":1,""strong"":""G3778""},{""count"":2,""strong"":""G4771""}]","[{""count"":1,""strong"":""G1544""},{""count"":1,""strong"":""G2071""},{""count"":2,""strong"":""G5216""}]","And G2532 if G1487 I G1473 by G1722 Beelzebub G954 cast out G1544 devils, G1140 by G1722 whom do G5101 your G5216 children G5207 cast G1544 them out? G1544 therefore G1223 they G846 shall be G2071 your G5216 judges. G2923",καὶ G2532 εἰ G1487 ἐγὼ G1473 ἐν G1722 Βεελζεβοὺλ G954 ἐκβάλλω G1544 τὰ G3588 δαιμόνια G1140 οἱ G3588 υἱοὶ G5207 ὑμῶν G4771 ἐν G1722 τίνι G5101 ἐκβάλλουσιν G1544 διὰ G1223 τοῦτο G3778 αὐτοὶ G846 κριταὶ G2923 ἔσονται G1510 ὑμῶν G4771,G2532 G1487 G1473 G1722 G954 G1544 G1140 G1722 G5101 G5216 G5207 G1544 G1544 G1223 G846 G2071 G5216 G2923,G2532 G1487 G1473 G1722 G954 G1544 G3588 G1140 G3588 G5207 G4771 G1722 G5101 G1544 G1223 G3778 G846 G2923 G1510 G4771,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.5294117647058824,0.6153846153846154,0.9230769230769231,9,Артефакт исходной метрики или списка исключений,high,classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=0.9231); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Mat.12.37,I5J,"66,(6)%–<75%",66.67,"[{""count"":2,""strong"":""G4771""}]","[{""count"":2,""strong"":""G4675""}]","For G1063 by G1537 thy G4675 words G3056 thou shalt be justified, G1344 and G2532 by G1537 thy G4675 words G3056 thou shalt be condemned. G2613",ἐκ G1537 γὰρ G1063 τῶν G3588 λόγων G3056 σου G4771 δικαιωθήσῃ G1344 καὶ G2532 ἐκ G1537 τῶν G3588 λόγων G3056 σου G4771 καταδικασθήσῃ G2613,G1063 G1537 G4675 G3056 G1344 G2532 G1537 G4675 G3056 G2613,G1537 G1063 G3588 G3056 G4771 G1344 G2532 G1537 G3588 G3056 G4771 G2613,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,1.0,9,Артефакт исходной метрики или списка исключений,high,classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=1.0000); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Mat.13.16,I6C,"66,(6)%–<75%",66.67,"[{""count"":2,""strong"":""G4771""}]","[{""count"":1,""strong"":""G191""},{""count"":2,""strong"":""G5216""}]","But G1161 blessed G3107 are your G5216 eyes, G3788 for G3754 they see: G991 and G2532 your G5216 ears, G3775 for G3754 they hear. G191",ὑμῶν G4771 δὲ G1161 μακάριοι G3107 οἱ G3588 ὀφθαλμοὶ G3788 ὅτι G3754 βλέπουσιν G991 καὶ G2532 τὰ G3588 ὦτα G3775 ὑμῶν G4771 ὅτι G3754,G1161 G3107 G5216 G3788 G3754 G991 G2532 G5216 G3775 G3754 G191,G4771 G1161 G3107 G3588 G3788 G3754 G991 G2532 G3588 G3775 G4771 G3754,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.4444444444444444,0.6153846153846154,0.9230769230769231,9,Артефакт исходной метрики или списка исключений,high,classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=0.9231); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Mat.13.18,I6E,"66,(6)%–<75%",66.67,"[{""count"":1,""strong"":""G4771""}]","[{""count"":1,""strong"":""G4687""},{""count"":1,""strong"":""G5210""}]",Hear G191 ye G5210 therefore G3767 the parable G3850 of the sower. G4687,Ὑμεῖς G4771 οὖν G3767 ἀκούσατε G191 τὴν G3588 παραβολὴν G3850 τοῦ G3588,G191 G5210 G3767 G3850 G4687,G4771 G3767 G191 G3588 G3850 G3588,0.6666666666666666,0.5,0.5714285714285714,0.4,0.5714285714285714,0.8571428571428571,9,Артефакт исходной метрики или списка исключений,medium,classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=0.8571); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Mat.13.38,I6Y,"66,(6)%–<75%",69.23,"[{""count"":3,""strong"":""G1510""},{""count"":1,""strong"":""G3778""}]","[{""count"":2,""strong"":""G1526""},{""count"":1,""strong"":""G2076""}]",The field G68 is G2076 the world; G2889 the good G2570 seed G4690 are G1526 the children G5207 of the kingdom; G932 but G1161 the tares G2215 are G1526 the children G5207 of the wicked G4190 one;,ὁ G3588 δὲ G1161 ἀγρός G68 ἐστιν G1510 ὁ G3588 κόσμος G2889 τὸ G3588 δὲ G1161 καλὸν G2570 σπέρμα G4690 οὗτοί G3778 εἰσιν G1510 οἱ G3588 υἱοὶ G5207 τῆς G3588 βασιλείας G932 τὰ G3588 δὲ G1161 ζιζάνιά G2215 εἰσιν G1510 οἱ G3588 υἱοὶ G5207 τοῦ G3588 πονηροῦ G4190,G68 G2076 G2889 G2570 G4690 G1526 G5207 G932 G1161 G2215 G1526 G5207 G4190,G3588 G1161 G68 G1510 G3588 G2889 G3588 G1161 G2570 G4690 G3778 G1510 G3588 G5207 G3588 G932 G3588 G1161 G2215 G1510 G3588 G5207 G3588 G4190,0.6923076923076923,0.75,0.72,0.5625,0.72,0.96,9,Артефакт исходной метрики или списка исключений,high,classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=0.9600); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
Mat.14.36,I8I,"66,(6)%–<75%",70.0,"[{""count"":2,""strong"":""G681""},{""count"":1,""strong"":""G3441""}]","[{""count"":3,""strong"":""G680""},{""count"":1,""strong"":""G3440""}]",And G2532 besought G3870 him G846 that G2443 they might G680 only G3440 touch G680 the hem G2899 of his G846 garment: G2440 and G2532 as many as G3745 touched G680 were made perfectly whole. G1295,καὶ G2532 παρεκάλουν G3870 αὐτὸν G846 ἵνα G2443 μόνον G3441 ἅψωνται G681 τοῦ G3588 κρασπέδου G2899 τοῦ G3588 ἱματίου G2440 αὐτοῦ G846 καὶ G2532 ὅσοι G3745 ἥψαντο G681 διεσώθησαν G1295,G2532 G3870 G846 G2443 G680 G3440 G680 G2899 G846 G2440 G2532 G3745 G680 G1295,G2532 G3870 G846 G2443 G3441 G681 G3588 G2899 G3588 G2440 G846 G2532 G3745 G681 G1295,0.7,0.6363636363636364,0.6666666666666666,0.5,0.5714285714285714,0.8571428571428571,9,Артефакт исходной метрики или списка исключений,medium,classic_strong_alias_metric_artifact,"Локальные тексты и индексы подтверждены. Основная часть строгого расхождения исчезает при разрешённых TAGNT альтернативах Strong (F1=0.8571); это различие систем нумерации форм, а не доказательство ошибки стиха.",https://ebible.org/eng-kjv2006/copyright.htm;https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV;https://www.gutenberg.org/ebooks/10;https://github.com/STEPBible/STEPBible-Data;https://github.com/byztxt/greektext-scrivener,
